#SpT   Teff  logT   logL  Mbol  BCv    Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks    Ks-W1   W1-W2  W1-W3  W1-W4   M_J    M_Ks  i-z  z-Y  R_Rsun Msun  #SpT
O3V    46000 4.663  5.80 -9.75 -4.05  -5.7  -0.32   ...    ...    ...    ...    ...    ..... -1.22   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  12.5   ....  O3V
O4V    43000 4.633  5.67 -9.42 -3.92  -5.5  -0.32   ...    ...    ...    ...    ...    ..... -1.20   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  12.3   ....  O4V
O5V    41500 4.618  5.58 -9.20 -3.77  -5.4  -0.32   ...    ...    ...    ...    ...   -0.133 -1.19   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  11.9   ....  O5V
O5.5V  40000 4.602  5.46 -8.90 -3.65  -5.2  -0.32   ...    ...    ...    ...    ...   -0.133 -1.18   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  11.2   ....  O5.5V
O6V    39000 4.591  5.37 -8.67 -3.57  -5.1  -0.32   ...    ...    ...    ...    ...   -0.132 -1.17   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  10.6   ....  O6V
O6.5V  37300 4.573  5.24 -8.35 -3.45  -4.9  -0.32   ...    ...    ...    ...    ...   -0.131 -1.16   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  10.0   ....  O6.5V
O7V    36500 4.562  5.17 -8.18 -3.38  -4.8  -0.32   ...    ...    ...    ...    ...   -0.130 -1.15   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  9.62   28    O7V
O7.5V  35000 4.544  5.05 -7.87 -3.27  -4.6  -0.32   ...    ...    ...    ...    ...   -0.130 -1.14   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  9.11   24    O7.5V
O8V    34500 4.538  4.99 -7.72 -3.22  -4.5  -0.32   ...    ...    ...    ...    ...   -0.129 -1.13   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  8.75   22.9  O8V
O8.5V  33000 4.519  4.87 -7.43 -3.13  -4.3  -0.32   ...    ...    ...    ...    ...   -0.128 -1.12   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  8.33   20.5  O8.5V
O9V    32500 4.512  4.82 -7.29 -3.09  -4.2  -0.318  ...    ...    ...    ...    ...   -0.127 -1.114  ...   -0.369 -1.000 -0.164 -0.071   ...     ...    ...    ...    -3.44  -3.20  ...  ...  8.11   19.7  O9V
O9.5V  32000 4.505  4.76 -7.15 -3.06  -4.1  -0.312  ...    ...    ...    ...    ...   -0.125 -1.087  ...   -0.361 -0.977 -0.161 -0.069   ...     ...    ...    ...    -3.35  -3.12  ...  ...  7.80   18.5  O9.5V
B0V    31500 4.498  4.70 -7.02 -3.02  -4.0  -0.307  ...    ...    ...    ...    ...   -0.122 -1.067  ...   -0.355 -0.958 -0.159 -0.067   ...     ...    ...    ...    -3.27  -3.04  ...  ...  7.53   17.5  B0V
B0.5V  29000 4.462  4.47 -6.43 -2.87  -3.6  -0.295  ...    ...    ...    ...    ...   -0.120 -1.026  ...   -0.338 -0.913 -0.153 -0.063   ...     ...    ...    ...    -2.90  -2.69  ...  ...  6.81   15    B0.5V
B1V    26000 4.415  4.13 -5.68 -2.61  -3.1  -0.278  ...    ...    ...    ...    ...   -0.113 -0.995 -0.115 -0.325 -0.874 -0.148 -0.059   ...     ...    ...    ...    -2.43  -2.23  ...  ...  5.72   11    B1V
B1.5V  24500 4.389  3.89 -5.24 -2.43  -2.8  -0.252 -0.274  ...    ...    ...    ...   -0.103 -0.910 -0.114 -0.281 -0.752 -0.132 -0.047   0.035   ...    ...    ...    -2.23  -2.05  ...  ...  4.89   10    B1.5V
B2V    20600 4.314  3.38 -3.71 -2.06  -1.7  -0.210 -0.219  ...    ...    ...    ...   -0.094 -0.790 -0.094 -0.230 -0.602 -0.113 -0.032   0.036   ...    ...    ...    -1.24  -1.10  ...  ...  3.85   7.3   B2V  
B2.5V  18500 4.267  3.10 -3.15 -1.79  -1.4  -0.198 -0.206  ...    ...    ...    ...   -0.087 -0.732 -0.087 -0.210 -0.544 -0.105 -0.026   0.036   ...    ...    ...    -0.99  -0.86  ...  ...  3.45   6.1   B2.5V
B3V    17000 4.230  2.96 -2.64 -1.58  -1.1  -0.178 -0.184  ...    ...    ...    ...   -0.083 -0.673 -0.080 -0.192 -0.492 -0.098 -0.021   0.036   ...    ...    ...    -0.73  -0.61  ...  ...  3.48   5.4   B3V
B4V    16700 4.223  2.91 -2.52 -1.53  -1.0  -0.165 -0.170  ...    ...    ...    ...   -0.078 -0.619 -0.074 -0.176 -0.447 -0.092 -0.016   0.036   ...    ...    ...    -0.66  -0.55  ...  ...  3.41   5.0   B4V
