# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
2.300000000000000000e+03	0.000000000000000000e+00	5.000000000000000000e-01	8.638306148954412937e+08	1.615629051258050442e+09	4.399570747514606118e+08	8.061997078629199415e+06	2.584178452991701663e+06	6.398367960049884394e+06	6.586045635268259048e+07	1.255373661746031344e+08	3.603701066706520040e+06	2.693542632751242258e+06	4.722387137910527736e+07	4.551786650352778845e+06	2.055064211398743093e+07	4.924493264389579296e+08	1.982168077510240972e+08	3.103136195629119407e+06	4.339439442368145287e+07	4.182730433364767581e+06	7.185471032961491495e+06	2.822266016441428065e+08	9.956495323277391493e+07	4.130471771239572018e+07	1.808561790872221630e-12	1.716595845023194897e+02
2.300000000000000000e+03	5.000000000000000000e-01	5.000000000000000000e-01	9.726066027067129612e+08	1.493269856472613573e+09	4.785621245355353951e+08	5.824109823582842015e+06	3.292863283576869406e+06	5.878067269413631409e+06	7.482426978676158190e+07	1.426410287165224552e+08	4.040693029571447521e+06	3.066072367833083030e+06	5.675791127483000606e+07	5.776382840694764629e+06	2.487491085231325403e+07	5.397981804933539629e+08	2.259545630503082871e+08	3.340195944561669603e+06	5.219936103613772988e+07	5.342436762128723785e+06	4.965836034446131438e+06	3.145130285268851519e+08	1.044608721325600296e+08	4.358635086230552197e+07	4.819279793982399504e-12	2.579987549764635446e+02
2.300000000000000000e+03	1.000000000000000000e+00	5.000000000000000000e-01	1.002180557984957337e+09	1.538129163455544710e+09	4.863202952679706812e+08	7.827690110898105428e+06	4.108020592193908524e+06	7.681447348373868503e+06	8.651001098240917921e+07	1.645857607696457207e+08	5.209409469219471328e+06	3.867261015131888445e+06	6.593088662957281619e+07	7.362416814989383332e+06	2.916106000126219913e+07	6.168589306502983570e+08	2.614585698983540237e+08	4.285657905013801530e+06	6.070077331148029119e+07	6.861311477386497892e+06	6.591035416501775384e+06	3.608007746559681296e+08	1.063668727149849683e+08	4.458893403560106456e+07	1.096240887850417830e-11	3.368971372207420245e+02
2.300000000000000000e+03	1.500000000000000000e+00	5.000000000000000000e-01	9.817588353878492117e+08	1.635642495008885622e+09	4.780459332703345418e+08	1.171390044144769944e+07	4.712442496322772466e+06	1.036927562255735509e+07	9.763377239913101494e+07	1.854890093369340003e+08	6.395848262018854730e+06	4.661355218260095455e+06	7.424748327391661704e+07	8.510268509712986648e+06	3.283547853242252767e+07	6.946220407764790058e+08	2.951234868068359494e+08	5.357230405616454780e+06	6.828819830459131300e+07	7.970172895642671734e+06	9.893766882396990433e+06	4.062877402613150477e+08	1.075319565728253722e+08	4.521872709902726114e+07	2.282663989807674621e-11	4.278157556716204795e+02
2.300000000000000000e+03	2.000000000000000000e+00	5.000000000000000000e-01	8.296104177497577667e+08	1.445730487764939070e+09	4.594616611985320449e+08	9.407601277929013595e+06	8.222804577972285450e+06	9.853200005431264639e+06	1.191995753133892566e+08	2.230537679520100057e+08	9.280021870224133134e+06	6.539873163919229992e+06	1.113206293692817837e+08	1.430890135478979349e+07	5.113760181615284085e+07	7.340525312387506962e+08	3.505970053426193595e+08	6.635393445507805794e+06	1.029255444623534381e+08	1.359672422871021740e+07	7.889582820110294037e+06	4.567454430418521762e+08	1.193233543918699175e+08	4.930129691950114071e+07	2.551262738947080601e-10	5.180771786784563346e+02
2.300000000000000000e+03	2.500000000000000000e+00	5.000000000000000000e-01	8.068885448042579889e+08	1.322739318641840696e+09	4.651981184308838248e+08	6.752585225493915379e+06	1.183967209896175005e+07	9.369840365992773324e+06	1.347135940275542438e+08	2.485228312994136214e+08	1.236059449444998056e+07	8.470891394086042419e+06	1.395995283429391384e+08	2.064580534684122726e+07	6.640210342933550477e+07	7.447659912302356958e+08	3.868614417402377129e+08	7.976486547023067251e+06	1.301147396855908930e+08	1.973566202393199876e+07	5.568941268820290454e+06	4.855794385954646468e+08	1.280814878801285774e+08	5.247152569337880611e+07	2.118956707989026651e-09	5.998853889959910930e+02
2.300000000000000000e+03	3.000000000000000000e+00	5.000000000000000000e-01	8.254812196790595055e+08	1.322432865221747398e+09	4.748079933279264569e+08	5.469760989111947827e+06	1.385529479164531268e+07	9.508926407318161801e+06	1.451707453148595989e+08	2.665580406889284253e+08	1.424563787624943256e+07	9.659958230933927000e+06	1.546755009043194056e+08	2.444803213496186584e+07	7.447434014455300570e+07	7.711593187183668613e+08	4.142781612269314528e+08	8.898614656785201281e+06	1.445144137031767964e+08	2.346159273952161521e+07	4.437315069723855704e+06	5.118137396314300299e+08	1.300221582687668353e+08	5.297579748445256799e+07	4.502696773585211350e-09	6.112276466060677649e+02
2.300000000000000000e+03	3.500000000000000000e+00	5.000000000000000000e-01	8.530050174373726845e+08	1.354088421520045042e+09	4.837586976445755363e+08	4.262339902899449691e+06	1.461609406708345003e+07	9.409399999547651038e+06	1.523682275859331489e+08	2.801274487160453796e+08	1.492592895140348189e+07	1.011784230941617303e+07	1.640365216683786511e+08	2.584445688490615040e+07	7.880762181510321796e+07	7.974453865806258917e+08	4.369809224809340239e+08	9.202113218819823116e+06	1.531810632014797926e+08	2.490695541283739731e+07	3.383977992207506206e+06	5.342322412661432028e+08	1.291795875266830176e+08	5.220072249919743836e+07	5.924226250733584265e-09	4.812779213696525744e+02
2.300000000000000000e+03	4.000000000000000000e+00	5.000000000000000000e-01	8.805449940960477591e+08	1.382943938435935497e+09	4.896752250075300932e+08	2.803639995874992572e+06	1.851735874383175746e+07	9.431021461012573913e+06	1.704406696415798664e+08	3.109753732600743175e+08	1.881767830738512799e+07	1.175537490985978208e+07	1.899625968490290046e+08	3.448913087868951261e+07	9.351075104524028301e+07	8.332978476200941801e+08	4.846711159529855251e+08	1.023123162117064558e+07	1.782203492843810022e+08	3.346825693980217725e+07	2.132305931122496258e+06	5.759026057260819674e+08	1.260859803922537863e+08	5.009785492487660050e+07	2.866037837519060819e-09	2.465128489097229192e+02
2.300000000000000000e+03	4.500000000000000000e+00	5.000000000000000000e-01	9.129616863882625103e+08	1.408852500438760281e+09	4.956993371339841485e+08	1.601561631617804291e+06	2.437242586639871076e+07	9.878754557428596541e+06	1.954358975426441133e+08	3.527575910866030455e+08	2.476870957707953826e+07	1.460741037973669358e+07	2.294376946025196016e+08	4.669421921878746897e+07	1.157863300294570476e+08	8.697520875189174414e+08	5.464817119855738878e+08	1.225397429224181548e+07	2.163757415181383789e+08	4.567162662505340576e+07	1.120097632799927378e+06	6.277157124924170971e+08	1.223612224561571628e+08	4.735686465920282155e+07	2.017051546289772204e-09	9.181405379638874820e+01
