# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
2.600000000000000000e+03	-5.000000000000000000e-01	2.999999999999999889e-01	1.043871379761102438e+09	1.125473763396890402e+09	5.723587579768137932e+08	1.162394396157563431e+06	4.938500043467278592e+06	2.685806357673750725e+06	6.044494045911833644e+07	1.120445014545740932e+08	4.747254978073098697e+06	2.715516549422645010e+06	5.903496930889753252e+07	9.035608049730293453e+06	2.816314093667509779e+07	3.597252728445139527e+08	1.726784831407586038e+08	2.248886574010127690e+06	5.490578927815355361e+07	8.615779819959411398e+06	9.366422669396073325e+05	2.260376803827967048e+08	1.124073134081290960e+08	3.987991611322270334e+07	2.112126403212632729e-12	3.015501000275946453e+01
2.600000000000000000e+03	-5.000000000000000000e-01	5.000000000000000000e-01	1.055215021224885106e+09	1.116388208794994116e+09	5.922337273926484585e+08	9.915365979197204579e+05	4.027879801991511136e+06	2.272495239888756536e+06	5.342482311298930645e+07	9.951066334897740185e+07	3.909614107864325866e+06	2.176381910430196673e+06	5.066105786481744796e+07	7.572606570718937553e+06	2.405836468863958865e+07	3.263385019966778755e+08	1.537091704849174619e+08	1.794407346975680906e+06	4.713259683498090506e+07	7.196456003861967474e+06	8.055274199219144648e+05	2.029070573750297725e+08	1.130632026309334040e+08	3.862890831825990230e+07	1.328903292928082572e-12	1.844679289177819115e+01
2.600000000000000000e+03	-5.000000000000000000e-01	0.000000000000000000e+00	1.041566557419996262e+09	1.188870895618824720e+09	5.490116724571285248e+08	1.481951165152308065e+06	5.397884639332849532e+06	3.327179299084267113e+06	6.948968384781669080e+07	1.292663921127149761e+08	5.153916810210662894e+06	3.129413279747580178e+06	6.646583962457086146e+07	9.382290242121426389e+06	3.112398481187174097e+07	4.275066727937011123e+08	1.997017586978735626e+08	2.656756548806309700e+06	6.146397365416817367e+07	8.974266329950530082e+06	1.178307152658531442e+06	2.648691754890615344e+08	1.088930760609642565e+08	4.040872874500732869e+07	1.351479873097944166e-12	3.984685947289160879e+01
2.600000000000000000e+03	0.000000000000000000e+00	2.999999999999999889e-01	1.397866846711495876e+09	1.583091237843638182e+09	7.239100715074733496e+08	2.651666910363634583e+06	9.497682109458051622e+06	5.305760950381583534e+06	9.825066560518954694e+07	1.803313560822327733e+08	9.102995014961561188e+06	5.483231173973578960e+06	9.936663882659165561e+07	1.660238345410643891e+07	4.817903659386408329e+07	5.619249999000228643e+08	2.763889164871230721e+08	4.648274211421080865e+06	9.260028280353115499e+07	1.593860715237934887e+07	2.129917111453741323e+06	3.573586548707389832e+08	1.374935305078044534e+08	4.917896856343061477e+07	2.471533884166144319e-11	8.425235907942099800e+01
2.600000000000000000e+03	0.000000000000000000e+00	5.000000000000000000e-01	1.414440484157538414e+09	1.562881648269526005e+09	7.507421910535659790e+08	2.331327193157787435e+06	7.744208425871325657e+06	4.496919274571760558e+06	8.626818894916610420e+07	1.591549743088377416e+08	7.494625135155123658e+06	4.418088069810122252e+06	8.462246204735200107e+07	1.385700466640321724e+07	4.084275118406057358e+07	5.081380898034086227e+08	2.444316728961449564e+08	3.742321652403263841e+06	7.887604763023675978e+07	1.326326302536777593e+07	1.887669575633837376e+06	3.191138290556693673e+08	1.378555661316559315e+08	4.746709121967434138e+07	1.150936876590285257e-11	5.481602249962081430e+01
2.600000000000000000e+03	0.000000000000000000e+00	0.000000000000000000e+00	1.376443315003119707e+09	1.655634513835834742e+09	6.865235697293051481e+08	3.340456040070212446e+06	1.049957973676227033e+07	6.636367587036016397e+06	1.143090073008632064e+08	2.107062129014239013e+08	1.002355410801721551e+07	6.389151402602092363e+06	1.141603278688243032e+08	1.744515143493796512e+07	5.420825889067229629e+07	6.711960271665791273e+08	3.249205673599873185e+08	5.547518523530835286e+06	1.057420390466508865e+08	1.680411618886855245e+07	2.645767024202517234e+06	4.231916765738161206e+08	1.329644179001686424e+08	4.961618392154484242e+07	1.573209332626929185e-11	1.082319073645278422e+02
2.600000000000000000e+03	5.000000000000000000e-01	2.999999999999999889e-01	1.572289079578813076e+09	1.871015289434104443e+09	7.639797319286100864e+08	5.233823754272574559e+06	1.548681758368825167e+07	9.259254271194642410e+06	1.385586505494062006e+08	2.519859542985619307e+08	1.486457075116417371e+07	9.553349590088106692e+06	1.439054920061700046e+08	2.597886123724284023e+07	7.100118124396800995e+07	7.598616237898902893e+08	3.855274596519213319e+08	8.342923841044090688e+06	1.345815687518908679e+08	2.497160242675211653e+07	4.204363141121164896e+06	4.904814593839027882e+08	1.490997484580108523e+08	5.527404271414653957e+07	2.923498475475150345e-10	2.118345527352529700e+02
2.600000000000000000e+03	5.000000000000000000e-01	5.000000000000000000e-01	1.602317782748519421e+09	1.857399440400937557e+09	7.924944593463035822e+08	4.704222475354835391e+06	1.220332548176591843e+07	7.805450927121798508e+06	1.199026583145290166e+08	2.196283329377466738e+08	1.186205561200298369e+07	7.515179630178079009e+06	1.195505358025370985e+08	2.089382017562872916e+07	5.852828883378566802e+07	6.876623110385802984e+08	3.368656245817508698e+08	6.598103727134459652e+06	1.117573796459882855e+08	2.001794966931119561e+07	3.809024621128013358e+06	4.351818081105594039e+08	1.481550971651893258e+08	5.327371140870282054e+07	8.957500130722448788e-11	1.350052409958030637e+02
2.600000000000000000e+03	5.000000000000000000e-01	0.000000000000000000e+00	1.521150381958548784e+09	1.934869857245874405e+09	7.186952893731343746e+08	6.459331763445076533e+06	1.706877838955077901e+07	1.153708517520622909e+07	1.606643995424400866e+08	2.935270664161251783e+08	1.637001061433211342e+07	1.111976400793444365e+07	1.660925293054997921e+08	2.723358578362567350e+07	8.014613803956735134e+07	8.943044263985314369e+08	4.539400594540930986e+08	9.943495759417917579e+06	1.544274204235227108e+08	2.625533305329529941e+07	5.120813010355616920e+06	5.771092061110339165e+08	1.445118138230527341e+08	5.547814170434400439e+07	1.697353924333433043e-10	2.614882979513801047e+02
2.600000000000000000e+03	1.000000000000000000e+00	2.999999999999999889e-01	1.645079033717353821e+09	2.088430765756772041e+09	7.745071143330544233e+08	8.603785810778329149e+06	2.369816101565762609e+07	1.468916068257820234e+07	1.868810340325426161e+08	3.367064654101178646e+08	2.276397072182212397e+07	1.518071443020972423e+07	2.007897020738928616e+08	3.844067878607909381e+07	1.003683818999108225e+08	9.741596728426162004e+08	5.142183444416996241e+08	1.344941432960402407e+07	1.880943019443844259e+08	3.713104081057188660e+07	6.884877224959381856e+06	6.416032499059666395e+08	1.570025053120899796e+08	5.922779363532017916e+07	2.097782989838050909e-09	4.160024296876869130e+02
