# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
3.500000000000000000e+03	0.000000000000000000e+00	-5.000000000000000000e-01	4.561402656204065323e+09	4.908747419921144485e+09	2.082061082247633934e+09	4.994974316752706528e+09	3.417338671149663925e+09	6.200679725104261935e+07	2.192375152663227558e+09	6.276742117380111217e+08	4.576547789209225178e+08	1.964884189713634729e+09	1.109865759075906754e+09	2.876303676587355509e+07	2.849964139941686392e+08	2.311867103694874287e+09	3.473450526765691757e+09	4.649973761461866379e+09	1.900797860653788090e+09	1.341122281805475950e+09	4.639275163251689911e+09	3.043272824344524384e+09	3.428598628987601757e+09	5.377473648968093872e+09	5.264447310457269669e+09	1.097914575820102215e+09	4.556264686315125465e+09	3.052830013200339317e+09	4.781886301021038741e+07	5.296045038959940910e+09	4.129336843824304938e+08	1.079778208848078847e+08	2.529797366912289909e-03	1.745827488028746302e+04	3.480094057523171306e+08	1.198393875936122239e+08	3.908817176775599003e+09	4.580990192248539925e+09	3.187722328114666939e+09
3.500000000000000000e+03	5.000000000000000000e-01	-5.000000000000000000e-01	4.575832142796401024e+09	4.945022520494915962e+09	2.045806530664623499e+09	5.086245464852812767e+09	3.418238249444765568e+09	9.068136021066090465e+07	2.259061174826071739e+09	7.354128881145954132e+08	5.644685986089724302e+08	2.038405134148520708e+09	1.251672070957095146e+09	4.226263095243204385e+07	3.815194497084543705e+08	2.403226460071513653e+09	3.529992426087562084e+09	4.708265555911589622e+09	1.960746097806180716e+09	1.453527267023868799e+09	4.701677097961437225e+09	3.029474707129455090e+09	3.469387894964324474e+09	5.494085485561936378e+09	5.364169992552731514e+09	1.208140552869623423e+09	4.611117891035940170e+09	3.045474362344517708e+09	7.036710308879381418e+07	5.398392216029052734e+09	3.967083092813293338e+08	1.086999749620238096e+08	6.193356662722836366e-03	2.749799246340400350e+04	3.382478994525379539e+08	1.206099899131728113e+08	3.953124313779367447e+09	4.637784610694812775e+09	3.239379123928617954e+09
3.500000000000000000e+03	1.000000000000000000e+00	-5.000000000000000000e-01	4.558772435116258621e+09	5.012378634886068344e+09	1.993404056473473549e+09	5.218047626714037895e+09	3.447139726846355438e+09	1.304557672768165469e+08	2.330094496136893272e+09	8.522286389813086987e+08	6.843891013058767319e+08	2.113943613031765461e+09	1.387953300330032587e+09	6.222582594383763522e+07	4.983506413994163275e+08	2.495482717520858288e+09	3.613349406971601009e+09	4.806410823550025940e+09	2.030306639365978241e+09	1.566247733172646761e+09	4.804185643803520203e+09	3.039706230077618599e+09	3.537234726555533886e+09	5.650797169681937218e+09	5.507208542669699669e+09	1.320252339519340277e+09	4.706197330597842216e+09	3.060485329156054974e+09	1.022910972017363906e+08	5.543423361945138931e+09	3.786546316093373299e+08	1.092490137357311696e+08	1.563523276174753548e-02	4.176745085478241526e+04	3.268738021521878242e+08	1.212061656719841510e+08	4.028100274675727367e+09	4.733171447861461639e+09	3.313442355358153820e+09
3.500000000000000000e+03	1.500000000000000000e+00	-5.000000000000000000e-01	4.501623034730730057e+09	5.104158225546457291e+09	1.923884270259865046e+09	5.397159519109482765e+09	3.517575203022201061e+09	1.816894236117768884e+08	2.420498146900949001e+09	9.805040156045149565e+08	8.177355559204834700e+08	2.205227355952316284e+09	1.527829084158415794e+09	9.012402891772048175e+07	6.335685969387749434e+08	2.606657330154947281e+09	3.732224219485803604e+09	4.950299191999814034e+09	2.121118739434963942e+09	1.687996737605655193e+09	4.954046214189816475e+09	3.089224659230399609e+09	3.642541247157014847e+09	5.846686143066632271e+09	5.695952727117949486e+09	1.440594793541447878e+09	4.848554538450686455e+09	3.114309797000986576e+09	1.443391553896481991e+08	5.732358410178400040e+09	3.596339796787248254e+08	1.094579270664518923e+08	3.844574696835452443e-02	6.079540420772862126e+04	3.142413512601505518e+08	1.214446432418229878e+08	4.144136706192198753e+09	4.873106619191546440e+09	3.420662943279213428e+09
3.500000000000000000e+03	2.000000000000000000e+00	-5.000000000000000000e-01	4.400661197779761314e+09	5.212261460114060402e+09	1.838336014282742023e+09	5.624439716088886261e+09	3.636795738666078568e+09	2.433478584204182625e+08	2.541719863417405605e+09	1.124650499217388868e+09	9.666987809435449839e+08	2.323629075297598839e+09	1.685220462046204805e+09	1.266080198292477280e+08	7.860732507288625240e+08	2.750624851013112068e+09	3.891086166103722572e+09	5.140319066951595306e+09	2.242254057094337940e+09	1.828447301066975594e+09	5.152689582368435860e+09	3.187182409631870270e+09	3.791124704065153599e+09	6.075350463837738037e+09	5.927722324453091621e+09	1.577320331813161612e+09	5.039564864703001022e+09	3.216744300377352715e+09	1.960633104288753867e+08	5.961271082842087746e+09	3.404003211624337435e+08	1.091885180900969654e+08	9.130562285132591549e-02	8.502916714476177003e+04	3.008082681363328099e+08	1.211663830176602155e+08	4.306077156556693077e+09	5.057959775613731384e+09	3.567768640490870476e+09
3.500000000000000000e+03	2.500000000000000000e+00	-5.000000000000000000e-01	4.255825837017069340e+09	5.321684324276951790e+09	1.742961477787445545e+09	5.896507665287165642e+09	3.811173201159046650e+09	3.116718489244472980e+08	2.698012889123372078e+09	1.280806215035283804e+09	1.125424053475552082e+09	2.473277234101356983e+09	1.863228382838284016e+09	1.711093431561548114e+08	9.467237973760929108e+08	2.932692193087009907e+09	4.090889263386664867e+09	5.375043888195158958e+09	2.397138860604984760e+09	1.988069294612506151e+09	5.398653524397999763e+09	3.342046386234941483e+09	3.985676381154723167e+09	6.326205850116937637e+09	6.197787308711350441e+09	1.729637801538626671e+09	5.278189805190810204e+09	3.376498434334363937e+09	2.548687994040154517e+08	6.223855515828773499e+09	3.222900826624805331e+08	1.083482159597267956e+08	1.983974357357976559e-01	1.159007366814972920e+05	2.876441895309814811e+08	1.202772724083494246e+08	4.516234555763609886e+09	5.286199356684260368e+09	3.757652385023156643e+09
3.500000000000000000e+03	3.000000000000000000e+00	-5.000000000000000000e-01	4.038991095621191025e+09	5.412165819364922523e+09	1.638092834216445923e+09	6.236249470115523338e+09	4.072996467769408703e+09	3.776810184702210426e+08	2.903963443946796894e+09	1.434841389942961216e+09	1.276544089573867559e+09	2.665601914375182629e+09	2.052336633663366556e+09	2.173896805287793279e+08	1.092299088921282291e+09	3.166878426698451519e+09	4.351032672646970749e+09	5.679092930893278122e+09	2.596044729341135502e+09	2.163869113388495922e+09	5.718249096135785103e+09	3.587296713314016342e+09	4.250093195088352203e+09	6.608444102051190376e+09	6.523798951662159920e+09	1.891165724532831907e+09	5.591459234245490074e+09	3.626463817070457935e+09	3.127345590335587859e+08	6.535148283677770615e+09	3.063185183192781806e+08	1.071002108899628520e+08	3.566444010457845981e-01	1.593683968676281511e+05	2.756684248440364599e+08	1.189461760496529192e+08	4.800977541681866646e+09	5.581160112552355766e+09	4.010962127517367840e+09
3.500000000000000000e+03	3.500000000000000000e+00	-5.000000000000000000e-01	3.696861116722693443e+09	5.446737534077104568e+09	1.531255962391571999e+09	6.644405085703559875e+09	4.472876997293679237e+09	4.340754002015376687e+08	3.179946651207730770e+09	1.563383286807528734e+09	1.392207103283283234e+09	2.918060653768767357e+09	2.226796617161716461e+09	2.618786119526294172e+08	1.191809037900873899e+09	3.463462157330156326e+09	4.689702637721109390e+09	6.068199482812391281e+09	2.854498488701941013e+09	2.348343040109453678e+09	6.128099681641927719e+09	3.981696704175147057e+09	4.613435511267353058e+09	6.893892689107674599e+09	6.895907543103739738e+09	2.051981272958573103e+09	6.000254061652203560e+09	4.022166631545253277e+09	3.636919985429501534e+08	6.880545565609873772e+09	2.961940179340001941e+08	1.063126546485963911e+08	4.393507406746433586e-01	2.283265450097584107e+05	2.680214058646661341e+08	1.181209756589012742e+08	5.188075332906003952e+09	5.957394396020331383e+09	4.351887184656178474e+09
3.500000000000000000e+03	4.000000000000000000e+00	-5.000000000000000000e-01	3.386899818464381218e+09	5.434911079119596481e+09	1.448994043068824291e+09	6.955392844858212471e+09	4.901122605693313599e+09	4.659385948257151246e+08	3.451348055658421516e+09	1.651157121337714911e+09	1.458667315265382767e+09	3.165417441672372818e+09	2.383964108910891533e+09	2.933651115395200253e+08	1.234638447521865368e+09	3.745988379022646427e+09	4.998966485505425453e+09	6.399572334380710602e+09	3.110938940117823124e+09	2.503183125301090717e+09	6.477825207975924492e+09	4.427975064292123795e+09	4.966221625478472710e+09	7.053299080419733047e+09	7.151455665305084229e+09	2.181592536222596169e+09	6.358304904279146194e+09	4.463873933343527794e+09	3.944004590798476934e+08	7.107847623531966209e+09	2.914351032972989678e+08	1.060802772871225178e+08	4.162491362032129105e-01	3.414165900804366102e+05	2.644045344899275005e+08	1.178968363795967251e+08	5.552008446713366508e+09	6.278116459848374367e+09	4.679655791037580490e+09
3.500000000000000000e+03	4.500000000000000000e+00	-5.000000000000000000e-01	3.233395567945811749e+09	5.405164249659538269e+09	1.402591540590067387e+09	7.111232257954984665e+09	5.211783874978680611e+09	4.576008735050327778e+08	3.603281717480846405e+09	1.659076203122160435e+09	1.445885715908126116e+09	3.299769648485696793e+09	2.464219059405940533e+09	2.985824263288343549e+08	1.196511370262390137e+09	3.906609952324195385e+09	5.187540303348285675e+09	6.598592225212790489e+09	3.262978943816834450e+09	2.557443829161364079e+09	6.687585387072498322e+09	4.764054028107890129e+09	5.198377058865073204e+09	7.093029976552536964e+09	7.258043516769636154e+09	2.216254466623277187e+09	6.580964314134026527e+09	4.790121215020512581e+09	3.902771144483267665e+08	7.195656250706933975e+09	2.904550652105266452e+08	1.060134846912387013e+08	3.902875778754991698e-01	4.707985516811024281e+05	2.632440691625292897e+08	1.178140629108618796e+08	5.787331848855348587e+09	6.469809966347901344e+09	4.888068795687479973e+09
