# Teff	logg	[Fe/H]	GALEX_FUV	GALEX_NUV	STROMGREN_u	SkyMapper_u	SDSS_u	GROUND_JOHNSON_U	SkyMapper_v	STROMGREN_v	TYCHO_B_MvB	GROUND_JOHNSON_B	STROMGREN_b	SDSS_g	PS1_g	SkyMapper_g	GaiaDR2v2_BP	TYCHO_V_MvB	STROMGREN_y	GROUND_JOHNSON_V	SkyMapper_r	SDSS_r	PS1_r	PS1_w	KEPLER_Kp	GaiaDR2v2_G	GROUND_COUSINS_R	NGTS_I	SDSS_i	PS1_i	SkyMapper_i	GaiaDR2v2_RP	GROUND_COUSINS_I	TESS	PS1_z	SDSS_z	SkyMapper_z	PS1_y	2MASS_J	2MASS_H	2MASS_Ks	WISE_RSR_W1	SPITZER_IRAC_36	SPITZER_IRAC_45	WISE_RSR_W2	WISE_RSR_W3	WISE_RSR_W4	HERSCHEL_PACS_BLUE	HERSCHEL_PACS_GREEN	HERSCHEL_PACS_RED
3.500000000000000000e+03	0.000000000000000000e+00	-5.000000000000000000e-01	2.529797366912285139e-03	1.745827488028742300e+04	2.876303676587354392e+07	3.731002338888335228e+07	4.781886301021037251e+07	6.200679725104255974e+07	9.898597953388871253e+07	2.849964139941685200e+08	4.576547789209222794e+08	6.276742117380111217e+08	1.109865759075906515e+09	1.097914575820101976e+09	1.341122281805475473e+09	1.704188016908706903e+09	1.900797860653788567e+09	1.964884189713634491e+09	2.311867103694874287e+09	2.192375152663226604e+09	3.002127371603726864e+09	3.052830013200340271e+09	3.043287460971679688e+09	3.428598628987600803e+09	3.187722328114667892e+09	3.473450526765691280e+09	3.417338671149664402e+09	3.908817176775599480e+09	4.556264686315125465e+09	4.639275163251689911e+09	4.857283793763669968e+09	4.649973761461867332e+09	4.994974316752707481e+09	4.580990192248539925e+09	5.264447310457270622e+09	5.296045038959939003e+09	5.333132761111402512e+09	5.377473648968092918e+09	4.909019829990259171e+09	4.561402656204067230e+09	2.082061082247635365e+09	4.129336843824304938e+08	3.480094057523171902e+08	1.198393875936122388e+08	1.079778208848078996e+08	7.108287873867900111e+06	4.231033738874582923e+05	2.890303197393456230e+03	5.732958894487742327e+02	1.574852273539399619e+02
3.500000000000000000e+03	5.000000000000000000e-01	-5.000000000000000000e-01	6.193356662722825090e-03	2.749799246340394166e+04	4.226263095243202150e+07	5.515926285673012584e+07	7.036710308879379928e+07	9.068136021066083014e+07	1.430633399959042072e+08	3.815194497084542513e+08	5.644685986089721918e+08	7.354128881145955324e+08	1.251672070957094669e+09	1.208140552869623423e+09	1.453527267023868084e+09	1.795715868592037916e+09	1.960746097806180954e+09	2.038405134148520947e+09	2.403226460071513653e+09	2.259061174826071262e+09	2.999405266072914124e+09	3.045474362344518185e+09	3.029490844807497501e+09	3.469387894964323521e+09	3.239379123928618431e+09	3.529992426087561607e+09	3.418238249444765568e+09	3.953124313779367447e+09	4.611117891035940170e+09	4.701677097961437225e+09	4.937478366142522812e+09	4.708265555911590576e+09	5.086245464852812767e+09	4.637784610694811821e+09	5.364169992552731514e+09	5.398392216029052734e+09	5.431068099815149307e+09	5.494085485561936378e+09	4.945355866312377930e+09	4.575832142796401978e+09	2.045806530664624691e+09	3.967083092813293338e+08	3.382478994525381327e+08	1.206099899131729007e+08	1.086999749620238245e+08	7.061825459252658300e+06	4.233032841118940851e+05	2.904934495946724383e+03	5.763094681741142722e+02	1.583510976385878735e+02
3.500000000000000000e+03	1.000000000000000000e+00	-5.000000000000000000e-01	1.563523276174751120e-02	4.176745085478232795e+04	6.222582594383760542e+07	8.101784806992247701e+07	1.022910972017363608e+08	1.304557672768164426e+08	2.021649300515020192e+08	4.983506413994163275e+08	6.843891013058767319e+08	8.522286389813085794e+08	1.387953300330032349e+09	1.320252339519340277e+09	1.566247733172646046e+09	1.889403600128591061e+09	2.030306639365978479e+09	2.113943613031765223e+09	2.495482717520858765e+09	2.330094496136892796e+09	3.018834802134416580e+09	3.060485329156055927e+09	3.039723514591107368e+09	3.537234726555533886e+09	3.313442355358154297e+09	3.613349406971601009e+09	3.447139726846354485e+09	4.028100274675726891e+09	4.706197330597841263e+09	4.804185643803518295e+09	5.058197573230805397e+09	4.806410823550026894e+09	5.218047626714037895e+09	4.733171447861461639e+09	5.507208542669699669e+09	5.543423361945139885e+09	5.572786082019037247e+09	5.650797169681939125e+09	5.012796112871364594e+09	4.558772435116260529e+09	1.993404056473474264e+09	3.786546316093373299e+08	3.268738021521878839e+08	1.212061656719842404e+08	1.092490137357311696e+08	7.005281094989224337e+06	4.228031606824425980e+05	2.915006842984125342e+03	5.786558946033100028e+02	1.589884975992436864e+02
3.500000000000000000e+03	1.500000000000000000e+00	-5.000000000000000000e-01	3.844574696835446198e-02	6.079540420772851940e+04	9.012402891772046685e+07	1.160503874609172344e+08	1.443391553896481991e+08	1.816894236117767990e+08	2.755458299290189743e+08	6.335685969387749434e+08	8.177355559204833508e+08	9.805040156045147181e+08	1.527829084158415794e+09	1.440594793541447401e+09	1.687996737605654716e+09	1.996982447593159437e+09	2.121118739434964180e+09	2.205227355952316284e+09	2.606657330154947758e+09	2.420498146900949001e+09	3.075709923649307251e+09	3.114309797000987530e+09	3.089243300692041874e+09	3.642541247157013893e+09	3.420662943279213905e+09	3.732224219485802650e+09	3.517575203022201538e+09	4.144136706192198277e+09	4.848554538450685501e+09	4.954046214189815521e+09	5.226088407559854507e+09	4.950299191999814034e+09	5.397159519109481812e+09	4.873106619191545486e+09	5.695952727117950439e+09	5.732358410178400993e+09	5.758397349975061417e+09	5.846686143066634178e+09	5.104686171969359398e+09	4.501623034730731964e+09	1.923884270259865761e+09	3.596339796787248850e+08	3.142413512601506114e+08	1.214446432418230325e+08	1.094579270664518774e+08	6.934126277492069639e+06	4.211030876257049968e+05	2.920249773968481804e+03	5.800287527716197928e+02	1.594199487150927155e+02
3.500000000000000000e+03	2.000000000000000000e+00	-5.000000000000000000e-01	9.130562285132577671e-02	8.502916714476159541e+04	1.266080198292476833e+08	1.603933951854601502e+08	1.960633104288753271e+08	2.433478584204181135e+08	3.607302896426071525e+08	7.860732507288625240e+08	9.666987809435448647e+08	1.124650499217388630e+09	1.685220462046204805e+09	1.577320331813162088e+09	1.828447301066975117e+09	2.129372310865286589e+09	2.242254057094337940e+09	2.323629075297598839e+09	2.750624851013112545e+09	2.541719863417406082e+09	3.179483195243704796e+09	3.216744300377354145e+09	3.187203103759700298e+09	3.791124704065152168e+09	3.567768640490870953e+09	3.891086166103722095e+09	3.636795738666079044e+09	4.306077156556693077e+09	5.039564864703001022e+09	5.152689582368434906e+09	5.441976401233152390e+09	5.140319066951596260e+09	5.624439716088886261e+09	5.057959775613730431e+09	5.927722324453090668e+09	5.961271082842086792e+09	5.983046947325780869e+09	6.075350463837738991e+09	5.212925416002241135e+09	4.400661197779761314e+09	1.838336014282742023e+09	3.404003211624336839e+08	3.008082681363329291e+08	1.211663830176602751e+08	1.091885180900969505e+08	6.841975543152791448e+06	4.180029819032722735e+05	2.917051738469490374e+03	5.800571294850039976e+02	1.594834317590298269e+02
3.500000000000000000e+03	2.500000000000000000e+00	-5.000000000000000000e-01	1.983974357357973783e-01	1.159007366814970592e+05	1.711093431561547220e+08	2.124746824445902109e+08	2.548687994040154517e+08	3.116718489244470596e+08	4.511842206584073305e+08	9.467237973760927916e+08	1.125424053475551844e+09	1.280806215035283566e+09	1.863228382838284254e+09	1.729637801538626909e+09	1.988069294612505436e+09	2.289267888056888103e+09	2.397138860604984760e+09	2.473277234101356506e+09	2.932692193087009907e+09	2.698012889123371601e+09	3.338100715527036190e+09	3.376498434334365845e+09	3.342069916649616718e+09	3.985676381154722214e+09	3.757652385023157120e+09	4.090889263386664867e+09	3.811173201159048080e+09	4.516234555763609886e+09	5.278189805190809250e+09	5.398653524397998810e+09	5.703099816987710953e+09	5.375043888195158958e+09	5.896507665287165642e+09	5.286199356684258461e+09	6.197787308711351395e+09	6.223855515828772545e+09	6.239377936247205734e+09	6.326205850116939545e+09	5.322505489410160065e+09	4.255825837017070770e+09	1.742961477787445784e+09	3.222900826624804735e+08	2.876441895309815407e+08	1.202772724083495289e+08	1.083482159597267807e+08	6.726577170679250732e+06	4.132028928411172819e+05	2.902839938194227670e+03	5.781939677375099791e+02	1.590870112390853137e+02
3.500000000000000000e+03	3.000000000000000000e+00	-5.000000000000000000e-01	3.566444010457840985e-01	1.593683968676278309e+05	2.173896805287792087e+08	2.646353307539964318e+08	3.127345590335586667e+08	3.776810184702207446e+08	5.360066748452681303e+08	1.092299088921282053e+09	1.276544089573867321e+09	1.434841389942961454e+09	2.052336633663367033e+09	1.891165724532832146e+09	2.163869113388495445e+09	2.481567794390489101e+09	2.596044729341135979e+09	2.665601914375182629e+09	3.166878426698452473e+09	2.903963443946796417e+09	3.583165113169377327e+09	3.626463817070458889e+09	3.587323850454857349e+09	4.250093195088351727e+09	4.010962127517367840e+09	4.351032672646970749e+09	4.072996467769408703e+09	4.800977541681866646e+09	5.591459234245489120e+09	5.718249096135785103e+09	6.033526597311936378e+09	5.679092930893279076e+09	6.236249470115521431e+09	5.581160112552354813e+09	6.523798951662159920e+09	6.535148283677771568e+09	6.540416589212181091e+09	6.608444102051190376e+09	5.413155805057610512e+09	4.038991095621192455e+09	1.638092834216445923e+09	3.063185183192780614e+08	2.756684248440365195e+08	1.189461760496529639e+08	1.071002108899628520e+08	6.592803632461899891e+06	4.068028058932523127e+05	2.876933532216871754e+03	5.740340397170509732e+02	1.581516968040575648e+02
3.500000000000000000e+03	3.500000000000000000e+00	-5.000000000000000000e-01	4.393507406746428590e-01	2.283265450097579451e+05	2.618786119526293278e+08	3.115587305915780067e+08	3.636919985429500341e+08	4.340754002015374303e+08	6.049316799596871138e+08	1.191809037900873899e+09	1.392207103283282995e+09	1.563383286807528973e+09	2.226796617161716938e+09	2.051981272958573341e+09	2.348343040109452724e+09	2.710685419421277523e+09	2.854498488701941013e+09	2.918060653768768311e+09	3.463462157330156803e+09	3.179946651207730770e+09	3.968346195784661293e+09	4.022166631545254707e+09	3.981726970095969677e+09	4.613435511267352104e+09	4.351887184656178474e+09	4.689702637721110344e+09	4.472876997293678284e+09	5.188075332906004906e+09	6.000254061652203560e+09	6.128099681641926765e+09	6.440322475698579788e+09	6.068199482812391281e+09	6.644405085703559875e+09	5.957394396020331383e+09	6.895907543103740692e+09	6.880545565609872818e+09	6.868772420038927078e+09	6.893892689107675552e+09	5.447859529627840996e+09	3.696861116722693443e+09	1.531255962391572237e+09	2.961940179340001941e+08	2.680214058646661341e+08	1.181209756589013189e+08	1.063126546485963762e+08	6.479757274096854031e+06	4.013027395997312269e+05	2.849354592470201169e+03	5.695350699691919090e+02	1.570528941842474921e+02
3.500000000000000000e+03	4.000000000000000000e+00	-5.000000000000000000e-01	4.162491362032123554e-01	3.414165900804359699e+05	2.933651115395199060e+08	3.417265356919096112e+08	3.944004590798476338e+08	4.659385948257149458e+08	6.396005560793607235e+08	1.234638447521865129e+09	1.458667315265382528e+09	1.651157121337714672e+09	2.383964108910891533e+09	2.181592536222596645e+09	2.503183125301090240e+09	2.924558142451209068e+09	3.110938940117823601e+09	3.165417441672374249e+09	3.745988379022646904e+09	3.451348055658420563e+09	4.397128143564476967e+09	4.463873933343527794e+09	4.428005869721149445e+09	4.966221625478471756e+09	4.679655791037580490e+09	4.998966485505422592e+09	4.901122605693313599e+09	5.552008446713367462e+09	6.358304904279145241e+09	6.477825207975922585e+09	6.764596025349430084e+09	6.399572334380712509e+09	6.955392844858212471e+09	6.278116459848373413e+09	7.151455665305084229e+09	7.107847623531966209e+09	7.078882061758583069e+09	7.053299080419734001e+09	5.436083091124830246e+09	3.386899818464382648e+09	1.448994043068824291e+09	2.914351032972989082e+08	2.644045344899275005e+08	1.178968363795967847e+08	1.060802772871224880e+08	6.424169332437913865e+06	3.988026945523910690e+05	2.838024743283544467e+03	5.675062139799595116e+02	1.565169730706399775e+02
3.500000000000000000e+03	4.500000000000000000e+00	-5.000000000000000000e-01	3.902875778754987257e-01	4.707985516811017296e+05	2.985824263288342357e+08	3.419261598919345140e+08	3.902771144483267069e+08	4.576008735050326586e+08	6.213610127300025225e+08	1.196511370262389898e+09	1.445885715908125877e+09	1.659076203122160196e+09	2.464219059405941010e+09	2.216254466623277187e+09	2.557443829161363125e+09	3.030889197861744404e+09	3.262978943816833973e+09	3.299769648485697269e+09	3.906609952324195862e+09	3.603281717480845928e+09	4.713896301911873817e+09	4.790121215020514488e+09	4.764081792965073586e+09	5.198377058865072250e+09	4.888068795687480927e+09	5.187540303348285675e+09	5.211783874978680611e+09	5.787331848855347633e+09	6.580964314134025574e+09	6.687585387072496414e+09	6.940980519709351540e+09	6.598592225212792397e+09	7.111232257954984665e+09	6.469809966347899437e+09	7.258043516769635201e+09	7.195656250706933022e+09	7.155656291067362785e+09	7.093029976552536011e+09	5.406336444721642494e+09	3.233395567945812225e+09	1.402591540590067148e+09	2.904550652105266452e+08	2.632440691625292897e+08	1.178140629108619243e+08	1.060134846912387013e+08	6.433223460117699578e+06	3.997026853047739714e+05	2.846469411156736442e+03	5.693058435362988803e+02	1.570148949809591556e+02
