# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
3.000000000000000000e+03	0.000000000000000000e+00	-1.000000000000000056e-01	1.354119199127351046e+09	1.453835665684697628e+09	6.088544084657967091e+08	1.543391371533959210e+08	3.328339345791479200e+07	6.448432768408353440e+06	7.042697962175702676e+06	5.946722845263459720e+06	5.181522943340778351e+06	6.031669963600381278e+06	1.797199516255811322e+06	2.828207386632112321e+06	7.487590816240951419e+06	6.744840769062770531e+06	9.609381553873401880e+07	1.750762541883610785e+08	6.989300686118912883e+06	4.628084054490976036e+06	1.232218313137075305e+08	1.091268773468740843e+07	5.637880485575225949e+07	4.846994824285873771e+08	2.528632128069288433e+08	4.224249723904632963e+06	1.151639252738545537e+08	1.067369304116078094e+07	5.396458203835805878e+06	3.270168784243429303e+08	1.101344999474296272e+08	3.997203973095145822e+07	4.329091785015134906e-13	1.360741026305888113e+02	1.085671808882208914e+08	4.460371122153699398e+07	8.570753117855320871e+07	2.015730822039982378e+08	5.475284456514415145e+07
3.000000000000000000e+03	0.000000000000000000e+00	-2.999999999999999889e-01	1.324224633155741930e+09	1.520904629117363214e+09	5.997899306835862398e+08	1.821807510759608448e+08	3.850898802676656842e+07	7.856551842996030115e+06	8.103218069207321852e+06	7.733733972927652299e+06	7.061627169849479571e+06	6.977346181567001157e+06	2.184707074692801107e+06	3.404530731738021597e+06	1.109912676435407065e+07	7.765190737755789421e+06	1.136933833600319624e+08	2.074651966301442385e+08	8.048266784284128807e+06	5.741512303699132055e+06	1.464085909373197258e+08	1.176583749701746553e+07	6.637433884231531620e+07	5.817829758870732784e+08	2.978488437241048813e+08	5.403018497030081227e+06	1.367138384768582880e+08	1.153246176511589997e+07	6.472633398615868762e+06	3.884252104700750709e+08	1.097445396913294047e+08	4.032994407903141528e+07	2.170875500894551214e-13	1.844279551809732141e+02	1.085063291872014850e+08	4.503942580749636143e+07	1.007956520013770610e+08	2.394475156302936971e+08	6.429461878283058107e+07
3.000000000000000000e+03	0.000000000000000000e+00	-5.000000000000000000e-01	1.284076926234727144e+09	1.404392522391715765e+09	5.801738044834370613e+08	3.309411589669425488e+08	7.395231369875966012e+07	6.645662765409709886e+06	1.791080334203752503e+07	1.267745313915347867e+07	1.191859477483652905e+07	1.566455196942973696e+07	5.671825779763243161e+06	2.829847979598108679e+06	1.915943291153979674e+07	1.698515783458295465e+07	1.946327455411228240e+08	3.515923074270066619e+08	1.668943498555769771e+07	1.319167155307318084e+07	2.716329813474879861e+08	2.455644207579027489e+07	1.247983508366760015e+08	8.923961489426467419e+08	4.985038592150308490e+08	1.223682745222817734e+07	2.546892759954636097e+08	2.408530651523409411e+07	5.168946899559292011e+06	6.207788566534684896e+08	1.054625503606897593e+08	3.702531695934295654e+07	2.841279852564115324e-11	3.454469989952965534e+02	1.018653548419366479e+08	4.133237998428445309e+07	1.815669961364386082e+08	3.887279775083879232e+08	1.176768801872987002e+08
3.000000000000000000e+03	0.000000000000000000e+00	-5.000000000000000000e-01	1.207098297077082396e+09	1.326775379755145311e+09	5.467133030692850351e+08	2.093668130102094412e+08	4.869258671518465132e+07	7.712983560762022622e+06	1.195817378665542416e+07	9.580369344203202054e+06	9.094932405947383493e+06	1.032992248889710195e+07	3.415091557630236726e+06	3.279091032883895561e+06	1.517426553238418512e+07	1.141002325378020853e+07	1.287036280364817381e+08	2.320608581346001625e+08	1.178362236463450082e+07	8.244641694870542735e+06	1.707772606125246584e+08	1.814434744716123864e+07	7.953013526201169193e+07	6.237141294939728975e+08	3.274577784976478815e+08	7.694812877360292710e+06	1.601013577083324194e+08	1.777810815347133949e+07	6.201089204270395450e+06	4.210042090000917912e+08	9.875829663395074010e+07	3.414125269651017338e+07	7.736297325010359846e-11	2.844476560253247044e+02	9.530355963986934721e+07	3.803184713566864282e+07	1.169791852737983465e+08	2.631680083776840270e+08	7.586129202406573296e+07
3.000000000000000000e+03	0.000000000000000000e+00	-8.000000000000000444e-01	1.360001806465399981e+09	1.533375046937978506e+09	6.012846784500882626e+08	3.367018420643058419e+08	7.691135443825320899e+07	9.993153689698252827e+06	1.927441055497217551e+07	1.544922306204641052e+07	1.513477305725904554e+07	1.684290599892760441e+07	6.090258488895619288e+06	4.155280518750553485e+06	2.508402265633817762e+07	1.823251009197503328e+07	2.001023826181256473e+08	3.603271707105675936e+08	1.852487549269893393e+07	1.434421613244399615e+07	2.769509632083438635e+08	2.691620932834589109e+07	1.280183835727502257e+08	9.250158892859765291e+08	5.079003102134480476e+08	1.358611492355880700e+07	2.597366194535368383e+08	2.642997854832213745e+07	7.857394665075037628e+06	6.376153534665617943e+08	1.081956679669495523e+08	3.845524869248007983e+07	4.369186588043340547e-10	4.706401578986191794e+02	1.045176060748850107e+08	4.285890040078760684e+07	1.857165508707176745e+08	4.002954403297004104e+08	1.207400650514860153e+08
3.000000000000000000e+03	0.000000000000000000e+00	-1.000000000000000000e+00	1.189890727189345837e+09	1.379391251054694891e+09	5.203940539598341584e+08	5.352557038111159205e+08	1.220798298821703345e+08	6.910680047244104557e+06	3.655501616637421399e+07	2.032632618366813660e+07	1.871151783843194321e+07	3.229867148489012197e+07	1.427063585505492054e+07	2.901099582089230418e+06	2.354993552127999067e+07	3.732426024283955991e+07	2.949560643669043183e+08	5.239142549185978770e+08	3.120111225980400294e+07	2.849420642924445122e+07	4.345968349343238473e+08	4.202932517549242079e+07	2.044705209607387483e+08	1.155973998957793713e+09	7.546265296959158182e+08	2.517844593246738240e+07	4.092433218155521750e+08	4.153316237569192052e+07	5.272729203524182551e+06	8.766522863795527220e+08	9.758990006783805788e+07	3.637844971532166749e+07	2.038196142838071905e-10	4.747922708819087347e+02	9.459156499184836447e+07	4.060670531001569331e+07	2.904003906007076502e+08	5.559038068912028074e+08	1.911706008615889251e+08
3.000000000000000000e+03	0.000000000000000000e+00	-1.000000000000000000e+00	1.232914120445276737e+09	1.468883317720708609e+09	5.395499615184201002e+08	3.883105404626164436e+08	8.742758106861446798e+07	9.735884045734668151e+06	2.245747282894661278e+07	1.714357115626675636e+07	1.678793201503210887e+07	1.974371684945447370e+07	7.584604798167008907e+06	4.032942927039372269e+06	2.640249547156506032e+07	2.133008344982085377e+07	2.254759097278921604e+08	4.053995440058225989e+08	2.098949826635511220e+07	1.728164917934200540e+07	3.187600610922867656e+08	2.945523972400094196e+07	1.471820617896721959e+08	1.002389859681724787e+09	5.752318362302186489e+08	1.627574196422413737e+07	2.990888501808574796e+08	2.897237469593445957e+07	7.589924040372059681e+06	7.070774725862792730e+08	1.001615880458737314e+08	3.724657146143789589e+07	5.012314437391408558e-10	5.272602141996251248e+02	9.717010603629015386e+07	4.150979854639887810e+07	2.124998219188454747e+08	4.444347941563392282e+08	1.383446987675964534e+08
3.000000000000000000e+03	0.000000000000000000e+00	-1.300000000000000044e+00	8.897645616009107828e+08	1.257981499509114265e+09	3.983737201185162663e+08	3.960485294675034881e+08	8.668125388179107010e+07	7.868251071786450222e+06	2.214644302597651258e+07	1.571362610485773906e+07	1.511215388377194665e+07	1.951946046207536757e+07	7.807045211315653287e+06	3.256432250780813862e+06	2.216253205836850032e+07	2.138347749364043027e+07	2.252264421191877425e+08	4.052715288312047720e+08	2.000551083037148789e+07	1.737819581535113603e+07	3.232298296314547658e+08	2.728075897174253315e+07	1.485593261630829275e+08	9.663357538447096348e+08	5.835961671774102449e+08	1.610401771512017213e+07	3.032233114506886005e+08	2.685388933987442404e+07	6.085797658322817646e+06	7.013456383390884399e+08	8.373500321429610252e+07	3.353527092045327649e+07	2.944203850469202811e-10	4.604195002289794729e+02	8.143217583231742680e+07	3.730370659610863030e+07	2.150896186006364822e+08	4.395477212123435736e+08	1.397134153661066592e+08
3.000000000000000000e+03	0.000000000000000000e+00	0.000000000000000000e+00	1.030807533330083728e+09	1.046193225280028462e+09	4.998036832754215598e+08	1.913407585298448205e+08	4.440296690836377442e+07	4.850566602813307196e+06	1.081918647749265470e+07	8.144837760803303681e+06	7.712221976102369837e+06	9.417373416146941483e+06	3.226900456541733816e+06	2.094337962345894659e+06	1.340612873600639962e+07	1.014194935520132445e+07	1.160347472840727866e+08	2.092938728695876598e+08	1.045048025939880498e+07	7.674208662883915938e+06	1.581617118171678185e+08	1.601557682734918781e+07	7.315159991875606775e+07	5.566690103205194473e+08	2.915726479590813518e+08	7.198570113836956210e+06	1.483568224718305767e+08	1.567602153543481603e+07	3.817377468411326408e+06	3.744801401873129010e+08	9.201967455772250891e+07	2.568173900230797008e+07	6.932244669356713900e-11	2.240050263530713153e+02	8.450711852533717453e+07	2.860892313798348606e+07	1.062370109964177310e+08	2.353811494120081365e+08	6.902182285468123853e+07
3.000000000000000000e+03	0.000000000000000000e+00	0.000000000000000000e+00	1.221358632262546778e+09	1.326425263051122904e+09	5.575373502153917551e+08	1.378083784363156557e+08	2.903363784566985071e+07	5.614910483759197406e+06	5.852866737584825605e+06	4.994872761965040118e+06	4.265909110097159632e+06	5.007815440685058013e+06	1.464096732856855262e+06	2.492468862957953941e+06	5.954971870799822733e+06	5.600271778533629142e+06	8.582784320819123089e+07	1.569544066202718616e+08	5.799888474033407867e+06	3.836499338038612157e+06	1.096777679033786356e+08	9.036344628358360380e+06	4.983320772783348709e+07	4.360150890636842251e+08	2.279925816881850362e+08	3.488646255993911065e+06	1.024026846326962113e+08	8.834729717205820605e+06	4.733286191850742325e+06	2.944978581243754029e+08	1.046832379442541152e+08	3.863152401087833196e+07	2.731774142253622648e-13	1.071889169228701064e+02	1.031214624893396944e+08	4.306615147387780994e+07	7.633754074631081522e+07	1.807239737907418609e+08	4.857122884393114597e+07
