# teff	logg	feh	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	SkyMapper_u	SkyMapper_v	SkyMapper_g	SkyMapper_r	SkyMapper_i	SkyMapper_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
2.000000000000000000e+03	4.250000000000000000e+00	2.500000000000000000e-01	4.937223154206347466e+08	6.669666843761894703e+08	2.978730927736197114e+08	1.538609903298960924e+08	3.737192293733008206e+07	5.082022810669324826e+05	8.073059731806605123e+06	4.905105929505733773e+06	3.063808661043080036e+06	8.493781128195246682e+06	7.270569222273237072e+06	2.639674748660387704e+05	2.519780343011451419e+06	7.350118656480366364e+06	1.020162941892356873e+08	1.883302473053387403e+08	9.622615512340607122e+06	7.261430424277338199e+06	1.084795016578007340e+08	1.770082392310927436e+07	5.321836818677803129e+07	4.939356399047665000e+08	3.029312688630852699e+08	6.841438149842083454e+06	1.038431190537059456e+08	1.668049720071236975e+07	3.208240292364557390e+05	3.564288563320270777e+08	2.928504821375265019e+05	9.539711030940779019e+05	7.240049278532973491e+06	1.774305000245248154e+07	1.413451280826449990e+08	3.913823428957406282e+08	8.423360630120061338e+07	3.136153329560197890e+07	1.342804507956016095e-08	2.138907718824169191e+00	8.392562540290874243e+07	3.483627074399647862e+07	8.810317692416577041e+07	2.086994991056012213e+08	5.799042585471059382e+07
2.000000000000000000e+03	4.250000000000000000e+00	5.000000000000000000e-01	4.966052782702538967e+08	6.879307742094756365e+08	2.998035605083923340e+08	1.578782930491322875e+08	4.278171267583563924e+07	5.111726588739250437e+05	9.679656951226701960e+06	5.171780360919496045e+06	3.193802263055658434e+06	9.994146817539293319e+06	7.575099184504995123e+06	2.622006205342405592e+05	2.655957705742669292e+06	8.711648106974788010e+06	1.060122340420357138e+08	1.935347260679295063e+08	1.154711288622644357e+07	8.011537081337836571e+06	1.124042821634302884e+08	2.310732801062326506e+07	5.737071084557493776e+07	4.944944246068477035e+08	3.099476852663522363e+08	7.470135728291125968e+06	1.082664602394947857e+08	2.144597844172402844e+07	3.174726000025374815e+05	3.613258692373614311e+08	2.907591946866828948e+05	9.737867459214916453e+05	8.318455325897599570e+06	2.304130689759116247e+07	1.455513264302083254e+08	3.961809179071060419e+08	8.353042096440744400e+07	3.042878260930857435e+07	8.008369923013172245e-09	2.299359888307231703e+00	8.425820148873414099e+07	3.381460929158721119e+07	9.253621010430718958e+07	2.137777401928865612e+08	6.175461060252518952e+07
2.000000000000000000e+03	4.250000000000000000e+00	7.500000000000000000e-01	4.925758866981340051e+08	7.030018496385982037e+08	2.981619139734221697e+08	1.721521386343613863e+08	5.117820666654636711e+07	5.456378829259119229e+05	1.245096865221489035e+07	5.432850437605448999e+06	3.342178668677886948e+06	1.224822471614014357e+07	8.125349475257465616e+06	2.770509266885985271e+05	2.654007229721657000e+06	1.206601630804580450e+07	1.148909285097288787e+08	2.069264716696816981e+08	1.467377877056770399e+07	9.111332816322440282e+06	1.226256997106201053e+08	3.102741160045769438e+07	6.525461215314938128e+07	5.056895006231129169e+08	3.302115722212643027e+08	8.079181245347090997e+06	1.187776649443274587e+08	2.934224593231214210e+07	3.397198676949287765e+05	3.786469820599389076e+08	3.090597152560328250e+05	1.035461188053349615e+06	9.991876451885810122e+06	3.023851926979403570e+07	1.595165717182950675e+08	4.125154517245534658e+08	8.219254014904569089e+07	2.895540403789114580e+07	5.031781974239401200e-09	2.661571518590176488e+00	8.388994133605194092e+07	3.213647687294185907e+07	1.029321286973238289e+08	2.267386738228667080e+08	6.938890716547352076e+07
2.000000000000000000e+03	4.250000000000000000e+00	1.000000000000000000e+00	4.846005893242995739e+08	7.173166756495326757e+08	2.947435494933235049e+08	1.904614081248227358e+08	5.481600024049768597e+07	6.042271457331507700e+05	1.349584130623413809e+07	6.079042800575750880e+06	3.791634258265958633e+06	1.338279718488734774e+07	9.111764266853885725e+06	2.982259052682920010e+05	2.984721246427782346e+06	1.335691487024651654e+07	1.235512571663559675e+08	2.220224599665786922e+08	1.558767592196889780e+07	1.041298580633307621e+07	1.362749927119575739e+08	3.145255108261024207e+07	7.160892006598672271e+07	5.241189478550959229e+08	3.561057489121280909e+08	9.256467645959364250e+06	1.320743626543346196e+08	2.975402928839417547e+07	3.701333291202057735e+05	4.018049107158173323e+08	3.347811524758577580e+05	1.162008092247888679e+06	1.103996014103624970e+07	3.105134743904483318e+07	1.765303753437733352e+08	4.350754609413206577e+08	8.128917385234737396e+07	2.800139339807834849e+07	2.441906626853545962e-09	2.039491097299602540e+00	8.350395612756781280e+07	3.096631056745031849e+07	1.123240808033575863e+08	2.412261053983235657e+08	7.564358489899657667e+07
2.000000000000000000e+03	4.250000000000000000e+00	-2.500000000000000000e-01	4.716110541813082695e+08	6.165541453756941557e+08	2.859393460913332701e+08	1.878263968197625875e+08	4.636724483245348930e+07	5.794329808838779572e+05	1.070611697758862562e+07	6.263578921534741297e+06	3.955477456848772243e+06	1.140224090503161214e+07	1.005363661543003283e+07	3.169371747283520526e+05	3.042410779648366850e+06	9.859796268630472943e+06	1.152319843410559595e+08	2.091754617880507708e+08	1.214697603324390389e+07	1.019369621104954928e+07	1.401910085732735991e+08	2.060026529247789457e+07	6.880156238816295564e+07	4.951828136486324072e+08	3.254616698859903216e+08	9.606855042850293219e+06	1.342160703187188506e+08	1.940687848908408731e+07	3.752739512401054380e+05	3.733172536649118662e+08	3.464323952925472404e+05	1.067325570491818944e+06	9.831765090385038406e+06	2.110551731047108769e+07	1.742821535940319300e+08	4.029619008871216178e+08	8.532928586087180674e+07	3.283936634936606511e+07	4.454878783450364815e-08	3.853179875528102816e+00	8.193392953297425807e+07	3.622311720747309923e+07	1.061213417407057136e+08	2.248811585521249473e+08	7.053042005691839755e+07
2.000000000000000000e+03	4.250000000000000000e+00	-5.000000000000000000e-01	4.548673329205973148e+08	5.916583900505651236e+08	2.780827624377396703e+08	2.090348626371185780e+08	5.204038665617436171e+07	6.725654924331455259e+05	1.267644068040353805e+07	7.129704812287302688e+06	4.636242825156585313e+06	1.327339859587672912e+07	1.185038770164378360e+07	3.798308711112203891e+05	3.507993267339136917e+06	1.231257366507634334e+07	1.233069039673794061e+08	2.216235753154671192e+08	1.411439399893145077e+07	1.187501108385939151e+07	1.584243603854576349e+08	2.331880000412408635e+07	7.827990754014299810e+07	4.951422289228880405e+08	3.398151161122865677e+08	1.099828047199782357e+07	1.517497245412896276e+08	2.236441082255606353e+07	4.465332425465125125e+05	3.837998493006314039e+08	4.130123629656756530e+05	1.212624468945766566e+06	1.153058194417806901e+07	2.354179364576288313e+07	1.948177533070472181e+08	4.107355600576853156e+08	8.588341753076727688e+07	3.351847923849238828e+07	8.734510790283416423e-08	6.234690482795874011e+00	8.050696933370894194e+07	3.675552203611624986e+07	1.171222751442021579e+08	2.348454998344151676e+08	7.816683223438073695e+07
2.000000000000000000e+03	4.500000000000000000e+00	0.000000000000000000e+00	4.949998913788583875e+08	6.439997491536986828e+08	2.955703880968389511e+08	1.810133361951900125e+08	4.812533291200726479e+07	3.413747678782951552e+05	1.083443911222818121e+07	5.091343971505944617e+06	2.898740032125214580e+06	1.106322396471994184e+07	8.545868159734414890e+06	1.705629641910721839e+05	1.851252842162609799e+06	1.065197764870309643e+07	1.137152336924768388e+08	2.062694500246360600e+08	1.272941557389383018e+07	8.916670503736723214e+06	1.319374163933733553e+08	2.525118814160286635e+07	6.700429208389198035e+07	4.936157005665478706e+08	3.223773921282861233e+08	7.994487691759961657e+06	1.268251937210855186e+08	2.403038257062105089e+07	2.059523493537339382e+05	3.703944475700863600e+08	1.878514686533753120e+05	6.657233861402410548e+05	9.162937816054197028e+06	2.493019244879463688e+07	1.679777234343946576e+08	3.979874842869296670e+08	8.484485388377863169e+07	3.133012845849902555e+07	3.366557202176666330e-08	2.004143594508317694e+00	8.380532196178384125e+07	3.484569225673694164e+07	1.045410282276058495e+08	2.224989745838513076e+08	6.958409081056675315e+07
2.000000000000000000e+03	4.500000000000000000e+00	2.500000000000000000e-01	5.059726932643162012e+08	6.730006257992891073e+08	3.021151548798223734e+08	1.554557459676975608e+08	3.875499812481687218e+07	3.470795457450586255e+05	8.082493238710756414e+06	4.464952407479237765e+06	2.599200100408105645e+06	8.406747334953757003e+06	6.934703068520531058e+06	1.684817703532622836e+05	1.871803389813711401e+06	7.584202706456066109e+06	1.025866797302173823e+08	1.892103606458337307e+08	9.737237981924222782e+06	7.035189864449896850e+06	1.102121213472219259e+08	1.902149507513698563e+07	5.455585711331272870e+07	4.935162427072748542e+08	3.011143357389606237e+08	6.486940580798511393e+06	1.056482082501046956e+08	1.778398230030747131e+07	2.081453635050698067e+05	3.550723612014777064e+08	1.876277442343605217e+05	6.804725877823685296e+05	7.043676931180680171e+06	1.904646869246394187e+07	1.431162622331960797e+08	3.877602006553157568e+08	8.430459670485082269e+07	3.056407195509082079e+07	1.665399120383115842e-08	1.776160735421181025e+00	8.468710349105991423e+07	3.410161410250230879e+07	8.951413975387562811e+07	2.088095835978001952e+08	5.894529380817500502e+07
2.000000000000000000e+03	4.000000000000000000e+00	0.000000000000000000e+00	4.727529670578616858e+08	6.311214798065565825e+08	2.888747475403831005e+08	1.845824088407954574e+08	4.784121281794416159e+07	7.760004358739750460e+05	1.187976178538640030e+07	6.560921814436288550e+06	4.243179511652967893e+06	1.244408268714963458e+07	9.947324253054859117e+06	4.292928485380368074e+05	3.522636770651454106e+06	1.083717873440655321e+07	1.159448811132991314e+08	2.096182702406704128e+08	1.336973302194048092e+07	1.058244877874749340e+07	1.358052642275677025e+08	2.334658342059666663e+07	6.804635705979740620e+07	4.992928000139819980e+08	3.298103517354050279e+08	9.938949348765058443e+06	1.303813004650902450e+08	2.224504767985227704e+07	5.207156380007814732e+05	3.773986613758531213e+08	4.761080249486448593e+05	1.379296559803090058e+06	1.061434767544643395e+07	2.350506301479900628e+07	1.710110488719439805e+08	4.091105438954855800e+08	8.484937211041118205e+07	3.295067417665709928e+07	2.070063734288060925e-08	3.820632586698837319e+00	8.239400143136057258e+07	3.634983606710825115e+07	1.057962457760851383e+08	2.266733129707370102e+08	7.076630961387419701e+07
2.000000000000000000e+03	4.000000000000000000e+00	2.500000000000000000e-01	4.836417984119994640e+08	6.601257491736327410e+08	2.944645674647620320e+08	1.508860905408572257e+08	3.594395854860124737e+07	7.449778755354157183e+05	7.923345050027292222e+06	5.445081839086785913e+06	3.611339712965786457e+06	8.569266309509055689e+06	7.650936325251935981e+06	4.078725633279640460e+05	3.333441080742595252e+06	6.757149174127210863e+06	1.007661325214056671e+08	1.861712806274729371e+08	9.451076491013653576e+06	7.544595361709293909e+06	1.061192335943664908e+08	1.637021078291571885e+07	5.170657381675328314e+07	4.910550611258276105e+08	3.018855222771104574e+08	7.335577810264508240e+06	1.015088200876511782e+08	1.547694474987177737e+07	4.948351113233644865e+05	3.547643157236314416e+08	4.539395169974847813e+05	1.333771201542891562e+06	7.414082186149152927e+06	1.651072661325204559e+07	1.383458316436359882e+08	3.916037665643143058e+08	8.443696055351300538e+07	3.225596984172573313e+07	8.858397330594682716e-09	2.603675133319367507e+00	8.345068165364752710e+07	3.566815241264829040e+07	8.589641837539304793e+07	2.071121011556450427e+08	5.663048477473974973e+07
