# teff	logg	feh	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	SkyMapper_u	SkyMapper_v	SkyMapper_g	SkyMapper_r	SkyMapper_i	SkyMapper_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
1.500000000000000000e+04	1.750000000000000000e+00	-1.000000000000000000e+00	2.835632590299840927e+10	7.928029194354754639e+10	1.017970945994254494e+10	3.583780849325845337e+11	6.929675643738778076e+11	3.236526676807153320e+12	1.170574903197045654e+12	2.338708858916350098e+12	2.493715125413932129e+12	1.289920070039700195e+12	1.868970237389377686e+12	3.447562908555356934e+12	2.656185043121238770e+12	1.163249725089379639e+12	8.227298168133922119e+11	3.927085446695089111e+11	1.477769655083079590e+12	1.677705244444238770e+12	4.146391166863054810e+11	7.902375226029812012e+11	7.858734877947442627e+11	1.923712820460995178e+11	2.670855333343833313e+11	1.831396147319360107e+12	4.231496957669648438e+11	7.993372781732145996e+11	3.326397866907719727e+12	2.436933897466841736e+11	3.372039565979952637e+12	3.069968880026495605e+12	1.471672138701412598e+12	8.184589724847126465e+11	3.748267464238360596e+11	2.282202699137865295e+11	1.923441749293044806e+09	5.624047370646122694e+08	1.245065869217687109e+13	7.474466610303327148e+12	1.542345854085169792e+09	6.187498635444357395e+08	6.045046630189912109e+11	4.074932044395520630e+11	8.750778930583082275e+11
1.500000000000000000e+04	1.750000000000000000e+00	-6.989700043360187465e-01	2.854008358053625488e+10	7.981367814155360413e+10	1.024707191628702545e+10	3.611090366626824951e+11	6.984131004328198242e+11	3.274273927055658691e+12	1.180200717967572510e+12	2.358070843057879883e+12	2.514333099301390137e+12	1.300475970709120850e+12	1.883871793351971436e+12	3.495815114362443848e+12	2.678016494105567871e+12	1.172945810622633057e+12	8.293661540703239746e+11	3.956667022962805786e+11	1.490742085239956055e+12	1.691349396980533203e+12	4.178406409085191040e+11	7.964836893583452148e+11	7.921202658275865479e+11	1.936434438028300171e+11	2.689638814675321655e+11	1.846243111229595459e+12	4.264195484211423950e+11	8.056386667554104004e+11	3.368097995012697754e+12	2.453749398668398743e+11	3.417658907422749023e+12	3.098024163482583984e+12	1.483615107523700928e+12	8.249735972008044434e+11	3.776932030051342163e+11	2.297677973490598145e+11	1.936624086281647682e+09	5.664270002498060465e+08	1.234887983213186914e+13	7.540702738469315430e+12	1.552958856387441874e+09	6.231555496759084463e+08	6.092679564188328857e+11	4.105696650516581421e+11	8.820524625039504395e+11
1.500000000000000000e+04	1.750000000000000000e+00	-3.010299956639811980e-01	2.891670564586777115e+10	8.090361040339280701e+10	1.038501227619728470e+10	3.665731129069812012e+11	7.092307313756008301e+11	3.345764496624129395e+12	1.199348204893829834e+12	2.395545582453170898e+12	2.554179445727131836e+12	1.321379909604055664e+12	1.912922868774783203e+12	3.586941906619778809e+12	2.720150421353162109e+12	1.192261106623687500e+12	8.424555929749694824e+11	4.015829353353902588e+11	1.516043351719258545e+12	1.718167030584189697e+12	4.242393919223687744e+11	8.088938049274931641e+11	8.044946405099344482e+11	1.962336957706421509e+11	2.727339223516208191e+11	1.875324907716218750e+12	4.329520301087955933e+11	8.181572247038823242e+11	3.446938917348274414e+12	2.487648829858791504e+11	3.503767807244928711e+12	3.151600868222129883e+12	1.507155061817506348e+12	8.379211979412657471e+11	3.834273437802521973e+11	2.328971171587102356e+11	1.963316362367388248e+09	5.744436913822324276e+08	1.212939754828009375e+13	7.671655017181551758e+12	1.574401620552448988e+09	6.319510699359211922e+08	6.187540733670859375e+11	4.167139206578165894e+11	8.958603701368585205e+11
1.500000000000000000e+04	1.750000000000000000e+00	0.000000000000000000e+00	2.935190095463272476e+10	8.215854872496818542e+10	1.054471076067656326e+10	3.727453560770632324e+11	7.213339785496788330e+11	3.422078755220815918e+12	1.220662595849151367e+12	2.436367361695559570e+12	2.597532963848265137e+12	1.344568665170940186e+12	1.944787312627099121e+12	3.684001878070302246e+12	2.765912768824531250e+12	1.213741463098238770e+12	8.569767685149335938e+11	4.082555868587313843e+11	1.543796007513569580e+12	1.747742908567302490e+12	4.314570745317081299e+11	8.227653002174754639e+11	8.182823824553051758e+11	1.992016020718393860e+11	2.770018901556718140e+11	1.907319855965050781e+12	4.403174441324271851e+11	8.321516218232410889e+11	3.530977608304356445e+12	2.526155187305345764e+11	3.595441639032636719e+12	3.209163755042236816e+12	1.533188174487187500e+12	8.523844747319924316e+11	3.899027727767403564e+11	2.364600454627558289e+11	1.993900537016425133e+09	5.835133151503269672e+08	1.188405757763223633e+13	7.812938860734618164e+12	1.598930707605297804e+09	6.419150216671869755e+08	6.293800356668277588e+11	4.236325982618811035e+11	9.112246024903786621e+11
1.500000000000000000e+04	1.750000000000000000e+00	3.010299956639811980e-01	2.995658833649198151e+10	8.389797326490301514e+10	1.076673543290328979e+10	3.812097210566632690e+11	7.377741218858580322e+11	3.522975730901241211e+12	1.249328369385711914e+12	2.490976972147793945e+12	2.655522238615792969e+12	1.375726651634814453e+12	1.987543971858456543e+12	3.812132773594200684e+12	2.827023742629223633e+12	1.242554796993656738e+12	8.765843810900097656e+11	4.173884277878009033e+11	1.580997277929402588e+12	1.787437255468777100e+12	4.413442136065623779e+11	8.415724447200405273e+11	8.369483627926925049e+11	2.032960902328927002e+11	2.828579306970972290e+11	1.950249564155602783e+12	4.504041449410545654e+11	8.511295514573671875e+11	3.641964142480989258e+12	2.579054488206015015e+11	3.716451344031312012e+12	3.285541264305453125e+12	1.568174358631428711e+12	8.719693326168485107e+11	3.987809026361724243e+11	2.413588862795340881e+11	2.036157247826244593e+09	5.959002964706836939e+08	1.155909441512197070e+13	7.995298095501820312e+12	1.632784946202876091e+09	6.555392430598863363e+08	6.438097369411302490e+11	4.330854111820346069e+11	9.319881434028089600e+11
1.500000000000000000e+04	2.000000000000000000e+00	-1.000000000000000000e+00	2.860581542654879761e+10	8.034667703128872681e+10	1.021520576189812088e+10	3.660728024542120972e+11	7.162079126001064453e+11	3.178657649285826660e+12	1.227606774731479736e+12	2.499310152578428223e+12	2.671690010987523438e+12	1.357201718275065186e+12	1.995240457047022949e+12	3.197072707208633301e+12	2.867994294772398926e+12	1.218678443885962646e+12	8.601260623287808838e+11	4.026072971327812500e+11	1.539057900661174316e+12	1.783454844162374756e+12	4.243954818982565918e+11	8.186870955263223877e+11	8.201485746581214600e+11	1.971663210040114136e+11	2.731367830339812927e+11	1.952864575173861084e+12	4.332181079666222534e+11	8.280146197978258057e+11	3.194529406393754395e+12	2.494060084392134705e+11	3.152717971356166504e+12	3.219352173626027832e+12	1.557646828754705811e+12	8.492049100942580566e+11	3.830846970521760254e+11	2.338069193003361816e+11	1.920409698547671795e+09	5.603805091881181002e+08	1.276654972209489062e+13	7.179164571830015625e+12	1.539217594651243210e+09	6.166178272238477468e+08	6.250687554597058105e+11	4.186406774739418335e+11	9.157053126193452148e+11
1.500000000000000000e+04	2.000000000000000000e+00	-6.989700043360187465e-01	2.875546037941027069e+10	8.080590045719964600e+10	1.026623309604910851e+10	3.686862376495471802e+11	7.217658602797346191e+11	3.217122856197901855e+12	1.238148524720513428e+12	2.522555893051146973e+12	2.696644904814649902e+12	1.368943686614561768e+12	2.012778430021335449e+12	3.241254602093976562e+12	2.894662855621682617e+12	1.229260173416686279e+12	8.673203524987712402e+11	4.054872392812534180e+11	1.553253701044156494e+12	1.799246424456294434e+12	4.274858305748291016e+11	8.251472257548010254e+11	8.268173359738522949e+11	1.983664590573786621e+11	2.749323631948817139e+11	1.970269749307615967e+12	4.363786084678903809e+11	8.345297815094858398e+11	3.235298858961628906e+12	2.510115030895492554e+11	3.195248777204158691e+12	3.252774442855172363e+12	1.571240330324906738e+12	8.559918646541121826e+11	3.858345416500770264e+11	2.352842146450117188e+11	1.929605927432966709e+09	5.630900607057574987e+08	1.267552441764809180e+13	7.238092348082498047e+12	1.546550399050110340e+09	6.195953677764937878e+08	6.299412572378641357e+11	4.216690537267542725e+11	9.232601406752789307e+11
1.500000000000000000e+04	2.000000000000000000e+00	-3.010299956639811980e-01	2.907145173733850479e+10	8.176872671646562195e+10	1.037457597358930397e+10	3.741127951576075439e+11	7.331759149332042236e+11	3.294847292399357422e+12	1.259677348021415039e+12	2.569118708544483887e+12	2.746544781006280273e+12	1.392850742680599609e+12	2.048082506298629883e+12	3.331214194450111816e+12	2.947842334857632324e+12	1.250899211561704834e+12	8.819651088630251465e+11	4.114409401202893066e+11	1.582025650316178223e+12	1.831167307712413574e+12	4.338846519542052612e+11	8.383987251673483887e+11	8.404363850658739014e+11	2.008602354355774536e+11	2.786498887561326294e+11	2.005357649395440430e+12	4.429184860173487549e+11	8.478981028681926270e+11	3.317904699544033203e+12	2.543384094664011230e+11	3.281733382920221191e+12	3.319634046682482910e+12	1.598796206325579834e+12	8.699063786210948486e+11	3.915411144839750366e+11	2.383445218798594055e+11	1.949065544246771812e+09	5.687917897379243374e+08	1.248012811324363672e+13	7.366113665081802734e+12	1.562041213797800303e+09	6.258671049419347048e+08	6.399554554387102051e+11	4.279165688877410278e+11	9.386683237210162354e+11
1.500000000000000000e+04	2.000000000000000000e+00	0.000000000000000000e+00	2.944600324403102875e+10	8.290374661387522888e+10	1.050435543291334724e+10	3.804260308178336182e+11	7.463217408109808350e+11	3.382304555734649902e+12	1.284189282364380127e+12	2.621511082740270508e+12	2.802601276325235352e+12	1.420044591452757080e+12	2.088122431916112793e+12	3.432770160081295898e+12	3.007384434329517578e+12	1.275517552799293945e+12	8.986728326429332275e+11	4.183485186982433472e+11	1.614653228009424316e+12	1.867300180396428223e+12	4.413159074493797607e+11	8.536405862468463135e+11	8.560266121399368896e+11	2.037685039088998718e+11	2.829711345700828857e+11	2.045017871928438721e+12	4.505107241169116821e+11	8.632831980342077637e+11	3.410945279171326660e+12	2.582083174989762268e+11	3.379286372780458984e+12	3.394582458241372559e+12	1.630070462355358398e+12	8.858854601457612305e+11	3.981781049095611572e+11	2.419046525182315979e+11	1.972322285091754675e+09	5.754761384540674686e+08	1.226095559909357227e+13	7.515064114443136719e+12	1.580540719771269560e+09	6.332274176432845592e+08	6.514802269509252930e+11	4.351518072580065308e+11	9.562774152469215088e+11
1.500000000000000000e+04	2.000000000000000000e+00	3.010299956639811980e-01	2.998044225566156769e+10	8.451987766331300354e+10	1.069036567719378662e+10	3.893407232737719116e+11	7.647721351502666016e+11	3.502109410641125488e+12	1.318048089380214844e+12	2.693832559927634766e+12	2.879877778795208984e+12	1.457684320016937256e+12	2.143970881095389160e+12	3.571786001636562988e+12	3.089210322367259277e+12	1.309480019210923096e+12	9.219205216450886230e+11	4.280928111395402832e+11	1.659790902226996826e+12	1.917239118626054443e+12	4.518078813423312988e+11	8.749920648942707520e+11	8.777803301420639648e+11	2.078800759485362854e+11	2.890599974551653442e+11	2.099837965930395508e+12	4.612293679200518799e+11	8.848473421122102051e+11	3.538298002452602539e+12	2.636626083395343323e+11	3.512769155763895996e+12	3.497477235059205078e+12	1.673374086805879883e+12	9.082201283097813721e+11	4.075514108212077026e+11	2.469232027553416748e+11	2.005515356204331636e+09	5.848850013743890524e+08	1.196371781304505078e+13	7.718113804414777344e+12	1.606899857480769634e+09	6.436017725504995584e+08	6.676034648260203857e+11	4.453438852401422119e+11	9.808071700974538574e+11
